movie_id,movie_cd,title,release_date,poster_image_url,kinolights_url,priority_reason
1361,TMDB-11645,란,1985-06-01,https://image.tmdb.org/t/p/w500/i6Y66eFjGE2HBS0509rum76xNwd.jpg,,TAGGED
1490,TMDB-140420,페이퍼맨,2012-11-02,https://image.tmdb.org/t/p/w500/9tvF744hwTm2Bn9hkDjMfEsysKz.jpg,,TAGGED
1134,TMDB-234,칼리가리 박사의 밀실,1920-02-27,https://image.tmdb.org/t/p/w500/bktNGUv8x54gMlgiTp6qUOHzVh5.jpg,,TAGGED
1596,TMDB-399106,파이퍼,2016-06-16,https://image.tmdb.org/t/p/w500/m73Z8wm9H4UOa0NFTe67cNjnj32.jpg,,TAGGED
93,20070522,라 비 앙 로즈,2007-02-14,https://image.tmdb.org/t/p/w500/iPhDNKwTX7LPECxfLUcW5Kf3kkK.jpg,,TAGGED
1306,TMDB-4689,복수는 나의 것,2002-03-29,https://image.tmdb.org/t/p/w500/zrz5mJuXIhYGHBQndduUoT2JHvm.jpg,,TAGGED
1697,TMDB-522924,레이싱 인 더 레인,2019-08-08,https://image.tmdb.org/t/p/w500/rFKqqy4YIXq1hasaCEqk5p4Lywh.jpg,,TAGGED
916,20161165,무한대를 본 남자,2016-04-08,https://image.tmdb.org/t/p/w500/72QamOo0tiX5OOSF00RCFqjynXB.jpg,,TAGGED
1770,TMDB-618344,저스티스 리그 다크: 아포콜립스 워,2020-05-05,https://image.tmdb.org/t/p/w500/c01Y4suApJ1Wic2xLmaq1QYcfoZ.jpg,,TAGGED
1377,TMDB-13855,추격자,2008-02-14,https://image.tmdb.org/t/p/w500/3Y5COpcDL8I9u4GdUl0HskNO8zI.jpg,,TAGGED
1376,TMDB-13398,크리스마스에 기적을 만날 확률,2003-12-05,https://image.tmdb.org/t/p/w500/nR5NbQewfdPwy5mLNkrYfmUkI1b.jpg,,TAGGED
